PROJECT ID,PROJECT NAME,PROJECT STATUS,PRODUCT LINE,REGION,COUNTRY,LENDING INSTRUMENT,LENDING INSTRUMENT TYPE,ENV. CATEGORY,IMP AGENCY,SECTOR 1,APPROVAL DATE,CLOSING DATE,commitment_total,disbursement_total,d1,pct_dis1,total_pct_dis1,d2,pct_dis2,total_pct_dis2,d3,pct_dis3,total_pct_dis3,d4,pct_dis4,total_pct_dis4,d5,pct_dis5,total_pct_dis5,d6,pct_dis6,total_pct_dis6,d7,pct_dis7,total_pct_dis7,full_duration,ad1,d1_duration,d1_pct_duration,ad2,d2_duration,d2_pct_duration,ad3,d3_duration,d3_pct_duration,ad4,d4_duration,d4_pct_duration,ad5,d5_duration,d5_pct_duration,ad6,d6_duration,d6_pct_duration,ad7,d7_duration,d7_pct_duration
P116696,Kazakhstan - Tax Administration Reform Project (JERP),Active,IBRD/IDA,EUROPE AND CENTRAL ASIA,Kazakhstan,Specific Investment Loan,INVESTMENT,C,TAX COMMITTEE OF THE MINISTRY OF FINANCE,Central government administration,16-Feb-10,31-Dec-16,17000000,3683285.29,3683285.29,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,82,16-Feb-10,0,,,,,,,,,,,,,,,,,,,
P116734,Lao Environment and Social Project - Additional Financing,Closed,IBRD/IDA,EAST ASIA AND PACIFIC,Lao People's Democratic Republic,Specific Investment Loan,INVESTMENT,B,WATER RESOURCES AND ENVIRONMENTAL ADMINISTRATION,Central government administration,12-Jan-10,N/A,3000000,0,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,#DIV/0!,#DIV/0!,0,Err:520,Err:520,0,Err:520,Err:520,Err:520,,,,,,,,,,,,,,,,,,,,,
P116742,Sri Lanka - Road Sector Assistance Project - Second Additional Financing,Closed,IBRD/IDA,SOUTH ASIA,Sri Lanka,Specific Investment Loan,INVESTMENT,B,ROAD DEVELOPMENT AUTHORITY,Rural and Inter-Urban Roads and Highways,12-Apr-11,N/A,100000000,0,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,#DIV/0!,#DIV/0!,0,Err:520,Err:520,0,Err:520,Err:520,Err:520,,,,,,,,,,,,,,,,,,,,,
P116760,Lifeline Road Improvement Project - Additional Financing,Closed,IBRD/IDA,EUROPE AND CENTRAL ASIA,Armenia,Specific Investment Loan,INVESTMENT,B,MINISTRY OF TRANSPORTATION AND COMMUNICATIONS,Rural and Inter-Urban Roads and Highways,27-Aug-09,N/A,36600000,0,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,#DIV/0!,#DIV/0!,0,Err:520,Err:520,0,Err:520,Err:520,Err:520,,,,,,,,,,,,,,,,,,,,,
P116774,Social Safety Nets & Employment Support Project,Closed,IBRD/IDA,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,Specific Investment Loan,INVESTMENT,C,MINISTRIES OF FINANCE OF THE FEDERATION AND RS,Other social services,25-Feb-10,31-Oct-15,15000000,14098997.96,14098997.96,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,68,25-Feb-10,0,,,,,,,,,,,,,,,,,,,
P116787,Programmatic Financial Sector Development Policy Loan,Closed,IBRD/IDA,EUROPE AND CENTRAL ASIA,Montenegro,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE,Banking,1-Sep-11,31-Jan-13,85000000,78492460.84,78492460.84,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,16,1-Sep-11,0,,,,,,,,,,,,,,,,,,,
P116855,The Extended Deployment of an Enterprise Resource Planning System,Closed,IBRD/IDA,EAST ASIA AND PACIFIC,Indonesia,Specific Investment Loan,INVESTMENT,C,PLN,Energy efficiency in Heat and Power,8-Jun-10,N/A,30000000,0,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,#DIV/0!,#DIV/0!,0,Err:520,Err:520,0,Err:520,Err:520,Err:520,,,,,,,,,,,,,,,,,,,,,
P116919,Alma Transmission Project,Closed,IBRD/IDA,EUROPE AND CENTRAL ASIA,Kazakhstan,Specific Investment Loan,INVESTMENT,B,KEGOC,Transmission and Distribution of Electricity,16-Nov-10,30-Apr-15,78000000,71356361.35,71356361.35,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,53,16-Nov-10,0,,,,,,,,,,,,,,,,,,,
P116929,Peru Safe and Sustainable Transport Project,Closed,IBRD/IDA,LATIN AMERICA AND CARIBBEAN,Peru,Sector Investment and Maintenance Loan,INVESTMENT,B,PROVIAS NACIONAL,Rural and Inter-Urban Roads and Highways,14-Jan-10,1-Jul-14,150000000,0,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,#DIV/0!,#DIV/0!,0,Err:520,Err:520,0,Err:520,Err:520,54,14-Jan-10,0,,,,,,,,,,,,,,,,,,,
P116937,Social Sector Reform Development Policy Loan,Closed,IBRD/IDA,EUROPE AND CENTRAL ASIA,Albania,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE,Other social services,28-Apr-11,30-Apr-12,25000000,25007098.02,25007098.02,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,12,28-Apr-11,0,,,,,,,,,,,,,,,,,,,
